time,id,iq,vd,vq
1733814185191,0,0,0,0
1733814185293,0,0,0,0
1733814185394,0,0,0,0
1733814185497,0,0,0,0
1733814185599,0,0,0,0
1733814185701,0,0,0,0
1733814185802,0,0,0,0
1733814185904,0,0,0,0
1733814186007,0,0,0,0
1733814186108,0,0,0,0
1733814186211,0,0,0,0
1733814186313,0,0,0,0
1733814186415,0,0,0,0
1733814186517,0,0,0,0
1733814186618,0,0,0,0
1733814186721,0,0,0,0
1733814186822,0,0,0,0
1733814186924,0,0,0,0
1733814187027,0,0,0,0
1733814187129,0,0,0,0
1733814187231,0,0,0,0
1733814187332,0,0,0,0
1733814187434,0,0,0,0
1733814187537,0,0,0,0
1733814187638,0,0,0,0
1733814187741,0,0,0,0
1733814187842,0,0,0,0
1733814187944,0,0,0,0
1733814188047,0,0,0,0
1733814188149,0,0,0,0
1733814188251,0,0,0,0
1733814188353,0,0,0,0
1733814188455,0,0,0,0
1733814188557,0,0,0,0
1733814188659,0,0,0,0
1733814188760,0,0,0,0
1733814188863,0,0,0,0
1733814188965,0,0,0,0
1733814189067,0,0,0,0
1733814189169,0,0,0,0
1733814189271,0,0,0,0
1733814189373,0,0,0,0
1733814189684,0,0,0,0
1733814189787,0,0,0,0
1733814189888,0,0,0,0
1733814189990,0,0,0,0
1733814190092,0,0,0,0
1733814190194,0,0,0,0
1733814190296,0,0,0,0
1733814190398,0,0,0,0
1733814190499,0,0,0,0
1733814190601,0,0,0,0
1733814190704,0,0,0,0
1733814190808,0,9532,176,6789
1733814190910,0,9532,61790,16008
1733814191015,0,61704,153,5979
1733814191118,0,2786,63113,10929
1733814191222,0,495,63630,13524
1733814191325,0,1292,63791,12168
1733814191429,0,1243,64268,13003
1733814191533,0,915,63527,12345
1733814191637,0,1190,64530,12425
1733814191742,0,689,64333,12005
1733814191845,0,1125,64995,11951
1733814191949,0,880,64286,12487
1733814192053,0,1280,64302,12686
1733814192157,0,1070,63880,12541
1733814192261,0,1092,65112,13089
1733814192365,0,1247,63787,12401
1733814192469,0,1013,65010,12881
1733814192572,0,1236,64375,12774
1733814192677,0,953,64816,12560
1733814192781,0,1044,63967,12220
1733814192885,0,839,62368,12558
1733814192989,0,1211,65079,13020
1733814193093,0,924,64065,12456
1733814193198,0,1266,0,12828
1733814193300,0,1044,63672,12076
1733814193404,0,1166,63448,12984
1733814193508,0,1130,65043,12690
1733814193612,0,1035,63739,12577
1733814193716,0,1233,64111,12885
1733814193820,0,908,64435,12032
1733814193924,0,1149,64852,12823
1733814194028,0,834,62832,11677
1733814194132,0,1116,63662,12930
1733814194236,0,894,63931,12025
1733814194340,0,1225,63929,12693
1733814194444,0,1114,64757,13501
1733814194549,0,1075,107,12202
1733814194650,0,1155,63416,12808
1733814194754,0,916,63687,12190
1733814194858,0,1236,64720,12840
1733814194962,0,891,64304,12568
1733814195067,0,1103,64202,12247
1733814195171,0,788,64402,12362
1733814195275,0,1081,65031,12387
1733814195379,0,910,62617,11951
1733814195482,0,921,63915,12310
1733814195587,0,1070,63591,12390
1733814195691,0,769,64628,12680
1733814195794,0,1233,65058,12662
1733814195898,0,1027,64989,12728
1733814196003,0,1247,64479,12515
1733814196107,0,950,62801,12295
1733814196211,0,1089,63936,12421
1733814196315,0,850,63302,11896
1733814196419,0,1011,64624,12743
1733814196523,0,921,64534,12205
1733814196628,0,1220,43,13331
1733814196730,0,1041,64114,12146
1733814196834,0,814,62976,12565
1733814196938,0,1220,65097,13087
1733814197042,0,927,63694,12186
1733814197147,0,1200,40,13075
1733814197249,0,1024,63914,12139
1733814197352,0,856,63442,12473
1733814197456,0,1160,64804,12748
1733814197561,0,1022,64009,12478
1733814197666,0,1225,6,12942
1733814197768,0,1033,64220,12563
1733814197872,0,1089,63587,12905
1733814197976,0,1171,63334,12428
1733814198080,0,1041,64433,12580
1733814198184,0,1228,64251,12807
1733814198287,0,886,64422,11985
1733814198392,0,1179,64960,13021
1733814198496,0,806,65201,11915
1733814198599,0,1177,63558,12732
1733814198704,0,883,63973,12280
1733814198807,0,1214,64378,12771
1733814198912,0,1122,63783,12657
1733814199016,0,1064,65180,12132
1733814199119,0,788,64027,13032
1733814199222,0,1103,63893,12439
1733814199327,0,1236,64084,12876
1733814199430,0,964,64151,12471
1733814199535,0,1097,64031,12057
1733814199639,0,796,64242,12152
1733814199742,0,1030,64979,12442
1733814199847,0,880,62532,11890
1733814199951,0,967,64294,12283
1733814200055,0,1095,63763,12430
1733814200159,0,1081,65265,13228
1733814200263,0,1231,65181,12511
1733814200367,0,1027,65248,12659
1733814200471,0,1250,64339,12181
1733814200575,0,894,62714,12242
1733814200678,0,1092,64462,12160
1733814200783,0,839,63064,11848
1733814200886,0,1033,65081,12958
1733814200991,0,902,64170,11868
1733814201094,0,1217,65530,12900
1733814201199,0,1035,64590,12321
1733814201302,0,1125,64454,12223
1733814201407,0,1217,63853,12265
1733814201510,0,1057,63358,12487
1733814201615,0,1206,64439,12779
1733814201719,0,905,64333,12027
1733814201823,0,1111,64735,12603
1733814201927,0,750,64963,12007
1733814202031,0,1155,63743,12808
1733814202134,0,908,63371,12420
1733814202238,0,1220,64183,12811
1733814202342,0,1108,64093,12768
